key;Español;English
app_title;PinkCat OCR Sort;PinkCat OCR Sort
app_version;v1.2;v1.2
section_folders;01  CARPETAS;01  FOLDERS
section_names;02  NOMBRES (OCR FUZZY MATCH);02  NAMES (OCR FUZZY MATCH)
section_action;03  ACCIÓN;03  ACTION
label_source_folder;Carpeta origen;Source folder
placeholder_source_folder;Selecciona la carpeta de fotos…;Select the photos folder…
label_dest_folder;Carpeta destino;Destination folder
placeholder_dest_folder;Donde se guardarán los archivos…;Where files will be saved…
check_same_folder;Organizar en la misma carpeta origen;Organize in same folder as source
label_names_file;Archivo de nombres (.txt);Names file (.txt)
placeholder_names_file;Selecciona el archivo de nombres…;Select the names file…
btn_load;↺  CARGAR;↺  LOAD
btn_create_sample;+ CREAR EJEMPLO;+ CREATE SAMPLE
names_status_none;Sin nombres cargados;No names loaded
names_status_missing;Archivo de nombres no encontrado — usa CARGAR o CREAR EJEMPLO;Names file not found — use LOAD or CREATE SAMPLE
names_status_empty;⚠ Archivo vacío o sin nombres válidos;⚠ Empty file or no valid names
names_status_loaded;✔ {count} nombres: {preview};✔ {count} names: {preview}
label_threshold;Umbral similitud:;Similarity threshold:
threshold_hint;Bajo = más permisivo  ·  Alto = más estricto\nSin match → carpeta '_Sin clasificar';Low = more permissive  ·  High = stricter\nNo match → '_Unclassified' folder
check_enable_ocr;Activar OCR;Enable OCR
check_gpu;GPU (CUDA);GPU (CUDA)
check_review_mode;Modo revisión (uno a uno con previsualización);Review mode (batch-by-batch with preview)
btn_start;▶  INICIAR ORGANIZACIÓN;▶  START ORGANIZING
btn_cancel;⛔  CANCELAR;⛔  CANCEL
filename_format_hint;Nombre: dd-MM-yyyy ; HH.mm.ss.ffff;Name: dd-MM-yyyy ; HH.mm.ss.ffff
stat_processed;Procesados;Processed
stat_skipped;Omitidos;Skipped
stat_errors;Errores;Errors
stat_total;Total;Total
log_title_activity;LOG DE ACTIVIDAD;ACTIVITY LOG
log_title_unclassified;SIN CLASIFICAR;UNCLASSIFIED
btn_clear;LIMPIAR  ;CLEAR
